AAPL
66.0
66.0
66.0
66.0
66.0
67.0
66.0
66.0
66.0
66.0
66.0
66.0
72.0
74.0
73.0
73.0
72.95
72.95
72.05
71.03
71.03
71.03
70.28
70.28
71.18
71.18
71.38
71.38
71.49
71.49
71.49
71.49
71.74
71.74
71.74
71.17
71.17
71.21
71.21
74.16
74.16
74.16
74.16
74.16
74.16
74.16
74.16
74.16
74.16
73.92
74.15
74.15
74.15
74.15
74.15
74.15
74.15
74.15
74.55
74.55
